昵称,id,学历,学校,学院,专业,经验,简介
李晓春,58a44944a00c099c3e2ff3e6,教师,北京工业大学,经管学院,Business Administation / Management Science,北京工业大学教师 研究领域为企业战略与组织,企业管理专业博土 曾在«经济研究»在独立发表论文
周紫岑,58a432214b7e7fb63e62cbba,学生,华中师范大学,教育学院,Education,在读大学生,参加过一次科研立项，关于湖北省农村教师培训现状的调查
马柯航,58a3cbcc4b7e7fb63e62cb91,副教授,山西财经大学,工商管理学院,Business Administation / Management Science,企业管理青椒一枚,
zip,58a2d2a9a00c099c3e2ff3b4,研究生,华南理工大学,设计学院,Design,numb,
孙心茹,58a29ff2a00c099c3e2ff394,在读研究生,上海对外经贸大学,人力资源专业,Physics,,
涂海银,58a25dfa4b7e7fb63e62cb11,博士生,南京大学,商学院,Business Administation / Management Science,南京大学，博士生,
何文倩,58a18a08a00c099c3e2ff2a4,学生,中国人民大学,理学院心理系,Psychology,不安分的心理学小白,
哈哈哈,58a171b14b7e7fb63e62caa9,博士生,中山大学,管理学院,Business Administation / Management Science,,
Yuanyuan Huo,58a14f694b7e7fb63e62ca94,Assistant Professor,University of Surrey,Surrey Business School,Business Administation / Management Science,Assistant Professor at the University of Surrey,
Terry Joe,58a05df94b7e7fb63e62ca7f,本科生,浙江大学,经济学系,Economics,一个肤浅且恶趣味的人 读点书 爱写字 不懂经济 喜爱摇滚和猎奇电影及志怪小说,
牛欢,589e82a0a00c099c3e2ff1e0,学生,青岛科技大学,经济与管理学院,Economics / Finance,,
杨俊杰,589d3aa84b7e7fb63e62c9e2,研究生,上海大学,管理学院,Arts and Literature,无,无
cwrsuixin,589d0c40a00c099c3e2ff1af,研究生,福州大学,经济与管理学院,Economics,小白一只，多多学习！,
,589b13e4cfda279260c34553,教授,华中农业大学,管理学院,Business Administation / Management Science,,
陈荣杨,589af1238138ad7160046609,研究生,深圳大学,研究生院,Sports and Recreation,专注体育产业发展动向。,
妖精的尾巴,58996fe28138ad71600465ac,学生,天津大学,环境与工程学院,Biological Sciences,爱读书，爱旅游，爱生活,
苏苏,58996667cfda279260c344ec,学生,湖南师范大学,教育科学学院,Psychology,啥、啥,
王弱智,589866b18138ad716004656a,学生,厦门大学,管理学院,Economics / Finance,,
吼吼吼,58986c70cfda279260c344bc,学生,南京航空航天大学,经济系,Economics,,无
周存,589862e8cfda279260c344af,学生,广州大学,工商管理学院,Economics / Finance,90后，兴趣广泛，杂而不精,
KHUAT HONG THUAN,589869f38138ad716004656b,博士生,中山大学,政务学院,Business Administation / Management Science,,
胡士磊,58986161cfda279260c344ae,博士生,哈尔滨工业大学,管理学院,Business Administation / Management Science,管理学研究者,
zq10000,5897d7c2cfda279260c3449f,学生,哈尔滨工业大学,能源科学与工程学院,Engineering,,
Youcong,5896b229cfda279260c3448e,博士生,中南大学,,Economics / Finance,,
JULIA,589689e78138ad7160046552,学生,南开大学,经济与社会发展研究院,Economics,,
vergil ,589148ef85875e554e8c6f16,学生,中山医院,放疗科,Medicine,中山医院 ,
ashley,5893de40cfda279260c34404,博士生,北京交通大学,经济管理学院,Economics / Finance,吃喝拉撒睡,
万兴,588e98fa85875e554e8c6f0e,副教授,南京财经大学,工商管理学院,Business Administation / Management Science,专注信息产业与企业研究，目前聚焦平台战略,
Jason,588dd69385875e554e8c6f0b,博士生,TJ & Liu,商学院,Business Administation / Management Science,"text mining, business intelligence & competitiveness intelligence.",
李晖,588b408985875e554e8c6e34,博士生,苏州大学,纺织与服装工程学院,Materials Science,勤奋有想法，想认真做点科研,
刘,588bf88b5a21196f4ef9887b,讲师,地方院校,心理咨询中心,Psychology,心理咨询,
Rhinover,58870f5a85875e554e8c691a,助理研究员,上海社会科学院,新闻研究所,Social Sciences,"Digital sociology, Critical Algorithm Study",
成一平,588630745a21196f4ef984ec,教授,社会科学院,,Social Sciences,学者,研究所长
yt,5886b3be5a21196f4ef9851a,,,,,,
ST1900,5885abae5a21196f4ef9838d,硕士生,山西师范大学,教师教育学院,Psychology,认知心理学研究者,
W. Shi,5884d7a35a21196f4ef9837e,PhD student,USF,Physics,Physics,Applied Physics,
魏泽龙,588458b985875e554e8c670c,副教授,西安交大,管理学院,Business Administation / Management Science,西安交大管理学院，致力于创新创业的相关研究,
Pearl,58844bd35a21196f4ef982e1,学生,多伦多大学,文理学院,Psychology,无所住生心,
WH. Qi,5883102d5a21196f4ef98283,本科生,武汉大学,经济与管理学院,Economics,面对这个世界，既不要笑，也不要哭，而是要理解。,
项飞,588216a05a21196f4ef98218,博士生,广州体育学院,运动与健康,Psychology,出差出差,
sn,58820e5085875e554e8c663f,学生,东财,金融学院,Economics / Finance,求知欲挺旺盛的一孩子,
杜萌,5881f18985875e554e8c6628,讲师,大连大学,经济管理学院,Economics / Finance,经济学博士，大连大学讲师，研究方向:国际金融，宏观经济,东北财经大学博士，在《经济学动态》，《国际金融研究》等期刊发表论文十余篇
李启,5881918f5a21196f4ef98194,老师,青岛大学,工程技术中心,Electrical and Electronic Engineering,工科,
xcrazy,5881ae6585875e554e8c6625,副教授,高校,管理学院,Business Administation / Management Science,信息系统领域研究人员,
emma,5881cf455a21196f4ef9819a,博士在读,财经大学,工商管理学院,Business Administation / Management Science,,
倪考梦,5880301085875e554e8c6574,法国佩皮尼昂大学旅游管理硕士,北京大学中国持续发展研究中心研究员,温州市决策咨询办公室主任,Arts and Literature,心理学爱好者,
Sssuuu,587f917485875e554e8c6572,研究生, 北京师范大学,心理学院,Psychology,专业编问卷的,
张雄涛,587f278a85875e554e8c646d,研究生,河北大学,管理学院,,管理科学与工程研究生,
刘大小姐,587e3e1c5a21196f4ef98046,研究生,中国矿业大学,管理学院,Economics / Finance,,
朱世怡,587e0f1185875e554e8c63d1,学生,河南工业大学,经济贸易学院,Economics / Finance,,
丸子小姐,587d74f685875e554e8c634d,硕士,暨南大学,管理学院,Arts and Literature,活泼开朗善良美丽大方机智过人。,
wei,587ce44c5a21196f4ef97f1c,硕士,山西大学,经济与管理学院,Economics / Finance,,
Stan,587cb81585875e554e8c6280,硕士,华中科技大学,管理学院,Computer and Information Science,做实证研究的代码狗,无
Sam Li,587ca4c05a21196f4ef97de9,博士生,中山大学,岭南学院,Economics,Candidate of Economic PHD,
KING -TAO,587c8b505a21196f4ef97daf,学生,中央财经大学,经济学院,Economics / Finance,CUFE在读本科生，主修经济学，好读书尽量求解，兴趣广泛不拘一格,
厉洋军,587c3a015a21196f4ef97d02,硕士研究生,武汉大学,经济与管理学院,Business Administation / Management Science,武汉大学经济与管理学院硕士研究生,
孙睿,587b8b9f22ba367d4d8d0bad,博士生,剑桥大学,心理系,Psychology,北大心理系本科，伦敦大学学院认知神经科学硕士，剑桥大学心理系博士最后一年在读。研究方向为社会地位与亲社会行为,
陈奕庭,587b56d2a20c80974d75fcee,博士生,华南师范大学,经理与管理学院,Economics,,
huagw,587b20b7a20c80974d75fcab,教授,北京交通大学,经管学院,Business Administation / Management Science,物流管理专业教授,北京交通大学经管学院教授
LeoYong,587ae78922ba367d4d8d0a61,研究生,浙江的大学,金融学院,Economics,金融硕士研究生一年级在读。,木油。。。
Monica,587a59cd22ba367d4d8d0a3a,学生,信阳学院,社会科学学院,Psychology,心理学本科生～,
Amamiya ,587a14fca20c80974d75fb9a,研究生,澳大利亚国立大学,人口学系,Social Sciences,"人口学硕士在读。
研究方向：历史人口学；老龄化；政策评估；政治经济学；公共卫生与流行病学",
Yang Hao,5878d873a20c80974d75fad8,学生,中央财经大学,经济学院,Economics,"CUFE Economics Geek
",
aijinzhengu,58788088a20c80974d75fad0,PhD,Fudan,"Finance, School of Management",Economics / Finance,finance,.....
Cobalt,5877bde122ba367d4d8d0781,博士生,清华大学,经济管理学院,Computer and Information Science,管科博士在读，偶尔玩音乐,
曹雪丽,5878271322ba367d4d8d0782,博士生,北京理工大学,管理与经济学院,Social Sciences,在读管理学博士，研究方向医疗运作管理,
Francis Chen,5877313c22ba367d4d8d0771,研究生,中国石油大学（华东）,经济管理学院,Business Administation / Management Science,管理科学与工程硕士研究生在读,
朱润格,587722d822ba367d4d8d076c,博士生,清华大学,经济管理学院,Business Administation / Management Science,管理科学与工程博士在读,
Clara,5876191e22ba367d4d8d0745,学生,北师大,心理学院,Psychology,职业心理健康与干预,
Fuxiao,5876459f22ba367d4d8d0755,教师,烟台大学,法学院,Law,,
随园诗画,5875fa67a20c80974d75f9bb,本科生,浙江大学,心理教育,Psychology,浙江大学  大二,
Snow,5875be6622ba367d4d8d072a,学生,安徽师范大学,应用心理学,Psychology,,
一休,5875bb22a20c80974d75f989,学生,农学院,经济管理学院,Economics / Finance,矛盾的年轻人,对哲学文学财会有过涉猎
Lisa,5874f777a20c80974d75f981,博士生,华中科技大学,管理学院,Business Administation / Management Science,一个单纯的研究者,
yizhang,5874e2fc22ba367d4d8d06fc,associate professor,Heilongjiang University,tourism management,Sports and Recreation,tourism management,
火扬,5874d47a22ba367d4d8d06ec,学生,大学,经济学院,Economics,沉迷学术，无法自拔,
李韦韦,5874771822ba367d4d8d06d8,学生,中山大学,管理学院,,,
Kejunqiang,58747419a20c80974d75f939,学生,华中科技大学,管理学院,Economics,,
Gao Vivian,58740eada20c80974d75f920,副教授,对外经贸大学,商学院,Business Administation / Management Science,对外经贸大学,香港中文大学博士后
BettyFly,587448ee22ba367d4d8d06d0,PhD Student,NJU,Business School,Business Administation / Management Science,Consumer Behavior PhD@NJU,
叶伟巍,587414b022ba367d4d8d06c0,教授,浙江财经大学,公共管理学院,Design,浙江财经大学教授,innovation
刘良文,5873949e22ba367d4d8d0670,学生,江西财经大学,国际学院,Linguistics,认真是一种魅力,没有
本宫不困，本宫要学习！,58734a70a20c80974d75f829,学生,天津财经大学,商学院,Economics / Finance,一定要把导师给的论文啃光光！,
Chris,587347b7a20c80974d75f828,学生,厦门大学,管理学院,Business Administation / Management Science,厦门大学，会计，金融，券商，投行, 
陈靖函,58731ebea20c80974d75f817,博士生,哈尔滨工程大学,经济管理学院,Business Administation / Management Science,宝妈，到三十岁终于圆上自己读博士的梦，2017年将入学，希望踏踏实实做点有意义的研究，不想浪费读博时间在务虚上,目前觉得自己还是菜鸟一枚，以往的论文不值一提
Annik,5873270022ba367d4d8d0555,市场研究人员,伊利集团,集团市场研究部,Business Administation / Management Science,自由学术者,待补充
王,58731a96a20c80974d75f816,博士生,长江大学,管理学院,Business Administation / Management Science,组织行为学与人力资源管理研究者,2002-2017
Sun,5873105622ba367d4d8cfe9a,博士生,中财,商学院,Business Administation / Management Science,爱学术～,
张兵,5873105022ba367d4d8cfe99,博士,大连理工大学,管经学部,Business Administation / Management Science,信息系统博士新生，博弈论，行为分析，人工智能兴趣相关,
Serene,5871e803a20c80974d75ef5b,学生,浙江理工大学,艺术设计,Environmental Sciences,吃货,
刘备川,5871efc5a20c80974d75ef5c,学生,东南大学,物流管理,Business Administation / Management Science,热爱生活,
带眼镜的河马,5870d285f58f8df504167eae,学生,中山大学,中山大学管理学院,Business Administation / Management Science,,
Elise,58708bb1f545dabe6bc3fdcc,学生,北师大,心理学院,Psychology,,
Frank,58705690f545dabe6bc3fdc0,学生,北大,经济学院,Economics / Finance,,
盛盛慢,58705247f58f8df504167dfa,学生,中国政法大学,新闻系,,,
Leon ,586ef212f58f8df504167b4a,副教授 博士,渤海大学,管理学院,Economics,,"辽宁大学经济学博士 
澳大利亚南澳大学访问学者"
McLee,586e82f8f545dabe6bc3fb32,学生,哈工大,航天学院,Engineering,没想好,
misslittlebear,586e67a9f58f8df504167b41,硕士生,西南政法大学,经济法学院,Law,,
yycfans,586e10d3f545dabe6bc3fb12,博士,证券公司,量化投资部,Economics / Finance,金融工程爱好者,
Yvonne,586ded71f58f8df504167a15,教师,东北财经大学,国际商学院,Business Administation / Management Science,管理学博士，研究方向为战略管理、技术创新与创新管理,
Jade,586dabc4f545dabe6bc3fac9,博士生,华中师范大学,心理学院,Psychology,psychology  &  culture,
Vicky_wzy,586deb94f545dabe6bc3faf7,学生,南审大,工商管理学院,Business Administation / Management Science,,
思啸,586de895f545dabe6bc3faf6,研究人员,山西工商学院,人力资源研究所,Social Sciences,呵呵,呵呵
Mayday,586de3abf58f8df504167a06,学生,武汉大学,心理学系,Psychology,心理学研究僧,心理学本科和研究僧
李佳佳,586da7dff545dabe6bc3fabb,学生,郑州大学,教育系,Psychology,郑州大学应用心理学本科，文科生，大学四年初入门，还有很多要学,正在看论文
武瑜,586d9301f58f8df5041679d6,学生,暨南大学,经济学院,Economics,金融学子一枚，渴知渴求的boy,
吴晨欢,586d2012f58f8df5041679d5,博士生,中科大,物理学院,Physics,,
Siyao XIAO,586d0744f545dabe6bc3fab6,Master full-time student,University College London,Institution of Education,Social Sciences,Scocial Science department at UCL ,
